id,seed_query,candidate_query,context,syntax_valid,sandbox_malicious,notes,malicious_intent_preserved,realistic_for_context,non_trivial_mutation,overall_quality_score,keep,reason,backend,status
11,status LIKE '%%' OR '1'='1',SELECT * FROM orders WHERE status = 'status LIKE '%%' OR '1'='1'' ORDER BY date DESC,product_filter,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of a tautology attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
12,SELECT * FROM orders WHERE status = 'cancelled' OR (SELECT 1 FROM (SELECT 0)),SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = 'cancelled' OR (SELECT 1 FROM (SELECT 0))' ORDER BY date DESC,product_filter,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
13,"1 OR ""'""=""'","INSERT INTO comments (user_id, body) VALUES (1, '1 OR ""'""=""'')",profile_update,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
14,1 OR /* */ 1=1,"INSERT INTO comments (user_id, body) VALUES (1, '1 OR /* */ 1=1')",profile_update,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a profile update context, and represents a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
15,1 OR -- 1,"INSERT INTO comments (user_id, body) VALUES (1, '1 OR -- 1')",profile_update,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of a SQL injection attack, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
16,SELECT * FROM users WHERE username = 'admin' --' AND password = 'anything',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' --' AND password = 'anything'' AND password = 'anything',login,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a union-based SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
17,SELECT * FROM users WHERE username = (SELECT username FROM admins LIMIT 1) AND password = '' OR '1'='1',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = (SELECT username FROM admins LIMIT 1) AND password = '' OR '1'='1'' AND password = 'anything',login,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a union-based SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
18,"SELECT * FROM users WHERE username = CHAR(97,100,109,105,'n') COLLATE utf8mb4_general_ci AND password = 'ignore'","SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = CHAR(97,100,109,105,'n') COLLATE utf8mb4_general_ci AND password = 'ignore'' AND password = 'anything'",login,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a union-based SQL injection attack, is realistic for a login context, and represents a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
19,"' OR '1'='1 UNION SELECT username, password FROM users --","SELECT * FROM products WHERE name LIKE '%' OR '1'='1 UNION SELECT username, password FROM users --%'",search,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a union-based SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
20,"` OR `1`=`1 UNION SELECT email, phone FROM customers /*","SELECT * FROM products WHERE name LIKE '%` OR `1`=`1 UNION SELECT email, phone FROM customers /*%'",search,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample is a union-based SQL injection attack that is plausible in a search context, with meaningful mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
21,"'; DROP TABLE IF EXISTS temp; CREATE TABLE temp AS SELECT id, CONCAT(username, ':', password) AS creds FROM users; --","SELECT * FROM products WHERE name LIKE '%'; DROP TABLE IF EXISTS temp; CREATE TABLE temp AS SELECT id, CONCAT(username, ':', password) AS creds FROM users; --%'",search,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a union-based SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
22,SELECT * FROM users WHERE id = ' OR '1'='1,SELECT * FROM users WHERE id = SELECT * FROM users WHERE id = ' OR '1'='1,id_lookup,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample is a union-based SQL injection attack that is plausible for an id_lookup context, with a meaningful mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
23,"-- -
UNION SELECT password FROM users WHERE id = '-- -'","SELECT * FROM users WHERE id = -- -
UNION SELECT password FROM users WHERE id = '-- -'",id_lookup,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a union-based SQL injection attack, is realistic for an id_lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
24,/* comment */ UNION SELECT username FROM users WHERE id = '#comment',SELECT * FROM users WHERE id = /* comment */ UNION SELECT username FROM users WHERE id = '#comment',id_lookup,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a union-based SQL injection attack, is realistic for an id_lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
25,"UNION SELECT username, password FROM users --""","SELECT * FROM orders WHERE status = 'UNION SELECT username, password FROM users --""' ORDER BY date DESC",product_filter,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a union-based SQL injection attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
26,"OR 1=1;--""""""","SELECT * FROM orders WHERE status = 'OR 1=1;--""""""' ORDER BY date DESC",product_filter,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a union-based SQL injection attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
27,; DROP TABLE IF EXISTS temp_table; --,SELECT * FROM orders WHERE status = '; DROP TABLE IF EXISTS temp_table; --' ORDER BY date DESC,product_filter,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of performing a union-based SQL injection attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
28,1); --,"INSERT INTO comments (user_id, body) VALUES (1, '1); --')",profile_update,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of a union-based SQL injection attack, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
29,"1');/**/UNION/**/SELECT/**/user_id,/**/password/**/FROM/**/users--","INSERT INTO comments (user_id, body) VALUES (1, '1');/**/UNION/**/SELECT/**/user_id,/**/password/**/FROM/**/users--')",profile_update,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of a union-based SQL injection attack, is realistic for a profile_update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
30,1 OR '1'='1,"INSERT INTO comments (user_id, body) VALUES (1, '1 OR '1'='1')",profile_update,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample is a union-based SQL injection attack that is both malicious and realistic for a profile update context, with a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
31,' OR '1'='1,SELECT * FROM users WHERE username = '' OR '1'='1' AND password = 'anything',login,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind boolean attack in a login context, is realistic, and shows non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
32,'; DROP TABLE IF EXISTS fakeusers; --,SELECT * FROM users WHERE username = ''; DROP TABLE IF EXISTS fakeusers; --' AND password = 'anything',login,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of performing a SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
33,username LIKE '%admin%' AND password LIKE '%admin%,SELECT * FROM users WHERE username = 'username LIKE '%admin%' AND password LIKE '%admin%' AND password = 'anything',login,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of a blind boolean attack in a login context, is realistic, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
34,"[""%\' AND 1=1 --""","SELECT * FROM products WHERE name LIKE '%[""%\' AND 1=1 --""%'",search,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample is a realistic blind boolean attack with non-trivial mutation, preserving malicious intent and context. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
35,"\' OR 1=1 /*""","SELECT * FROM products WHERE name LIKE '%\' OR 1=1 /*""%'",search,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind boolean attack in a search context, with a meaningful mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
36,"%\') OR 1=0; -- \'""","SELECT * FROM products WHERE name LIKE '%%\') OR 1=0; -- \'""%'",search,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
37,"\' AND (SELECT 1 FROM users WHERE username = 'admin') --""","SELECT * FROM products WHERE name LIKE '%\' AND (SELECT 1 FROM users WHERE username = 'admin') --""%'",search,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
38,"\' OR 1=1 UNION SELECT NULL, NULL, password FROM users --""]","SELECT * FROM products WHERE name LIKE '%\' OR 1=1 UNION SELECT NULL, NULL, password FROM users --""]%'",search,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind boolean attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
39,(SELECT CASE WHEN (SELECT 1 FROM users WHERE username = 'admin') THEN 1 ELSE 0 END),SELECT * FROM users WHERE id = (SELECT CASE WHEN (SELECT 1 FROM users WHERE username = 'admin') THEN 1 ELSE 0 END),id_lookup,true,true,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview,True,True,True,4,True,"The candidate sample is a non-trivial mutation of the seed, preserves malicious intent, and is realistic for an id_lookup context.",ollama_local+rules,ok
40,{--} OR 1=1 {--},SELECT * FROM users WHERE id = {--} OR 1=1 {--},id_lookup,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of a blind boolean attack, is realistic for an id_lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
41,(CASE WHEN (SELECT password FROM users WHERE id = 1 LIMIT 1) LIKE '%a%' THEN 1 ELSE 0 END),SELECT * FROM users WHERE id = (CASE WHEN (SELECT password FROM users WHERE id = 1 LIMIT 1) LIKE '%a%' THEN 1 ELSE 0 END),id_lookup,true,true,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview,True,True,True,4,True,"The candidate sample preserves the malicious intent of a blind boolean attack against an id lookup, with a non-trivial mutation from the seed.",ollama_local+rules,ok
42,' OR 1=1 --,SELECT * FROM orders WHERE status = '' OR 1=1 --' ORDER BY date DESC,product_filter,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind boolean attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
43,' AND '1'='1',SELECT * FROM orders WHERE status = '' AND '1'='1'' ORDER BY date DESC,product_filter,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind boolean attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
44,CASE WHEN 1=1 THEN '1' ELSE '' END,SELECT * FROM orders WHERE status = 'CASE WHEN 1=1 THEN '1' ELSE '' END' ORDER BY date DESC,product_filter,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind boolean attack, is realistic for a product filter context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
45,' OR 1=1 --,"INSERT INTO comments (user_id, body) VALUES (1, '' OR 1=1 --')",profile_update,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind boolean attack, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
46,' AND 1=1 /*,"INSERT INTO comments (user_id, body) VALUES (1, '' AND 1=1 /*')",profile_update,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind boolean attack, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
47,'; DROP TABLE users;--,"INSERT INTO comments (user_id, body) VALUES (1, ''; DROP TABLE users;--')",profile_update,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of performing a SQL injection attack, is realistic for a profile update context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
48,' OR '1'='1' -- -,SELECT * FROM users WHERE username = '' OR '1'='1' -- -' AND password = 'anything',login,true,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
49,' OR SLEEP(5) -- -,SELECT * FROM users WHERE username = '' OR SLEEP(5) -- -' AND password = 'anything',login,true,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
50,'; WAITFOR DELAY '00:00:05' -- -,SELECT * FROM users WHERE username = ''; WAITFOR DELAY '00:00:05' -- -' AND password = 'anything',login,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind time attack, is realistic for a login context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
51,"' OR '1'='1' AND EXISTS(SELECT 1 FROM users WHERE username LIKE '%' || SUBSTRING(password, 1, 1) || '%' SLEEP(5)) --","SELECT * FROM products WHERE name LIKE '%' OR '1'='1' AND EXISTS(SELECT 1 FROM users WHERE username LIKE '%' || SUBSTRING(password, 1, 1) || '%' SLEEP(5)) --%'",search,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind time attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
52,""" OR ""1""=""1"" AND (SELECT IF(SUBSTRING(password, 1, 1) = 'a', sleep(5), NULL) FROM users)","SELECT * FROM products WHERE name LIKE '%"" OR ""1""=""1"" AND (SELECT IF(SUBSTRING(password, 1, 1) = 'a', sleep(5), NULL) FROM users)%'",search,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a SQL injection attack, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
53,"' OR '1'='1' AND (BENCHMARK(1000000, MD5('')))","SELECT * FROM products WHERE name LIKE '%' OR '1'='1' AND (BENCHMARK(1000000, MD5('')))%'",search,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent by including a SQL injection vulnerability, is realistic for a search context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
54,OR 1=1 --,SELECT * FROM users WHERE id = OR 1=1 --,id_lookup,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent of a blind time attack, is realistic for an ID lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
55,AND sleep(2) /*,SELECT * FROM users WHERE id = AND sleep(2) /*,id_lookup,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample maintains the malicious intent of a blind time attack, is realistic for an ID lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
56,OR 1=1; DROP TABLE users --,SELECT * FROM users WHERE id = OR 1=1; DROP TABLE users --,id_lookup,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious,False,True,True,2,False,"The candidate sample preserves the malicious intent by maintaining the SQL injection pattern, is realistic for an ID lookup context, and demonstrates a non-trivial mutation from the seed. Rejected by hard rule because syntax_valid or sandbox_malicious is false.",ollama_local+rules,ok
